company_code,customer_id,address_line1,city,state,country,postcode,phone_number,email_address
US001,BDW702,40 Virginia Avenue,Mountlake Terrace,WA,USA,98043,425-132-2438,wright@gmail.com
US001,CIC835,97 Ridge Avenue,Arlington,WA,USA,98223,360-735-6953,conrad@msn.com
US001,FGT011,51 Hamilton Street,Lynnwood,WA,USA,98037,425-733-6255,collins@hotmail.com
US001,YXW901,84 Church Street,Sumner,WA,USA,98390,253-713-5689,smith@hotmail.com
US001,JFM172,40 Valley Road,Pateros,WA,USA,98846,509-443-2315,crawfor@gmail.com
US001,OLF222,85 Belmont Avenue,Vancouver,WA,USA,98683,360-528-4245,clark@hotmail.com
US001,NRJ755,98 Poplar Street,Orient,WA,USA,99160,509-680-4016,watkins@gmail.com
US001,OMD347,30 Jackson Street,Seattle,WA,USA,98112,206-599-2345,taylor@cox.net
US001,TIA156,55 Dogwood Drive,Longview,WA,USA,98632,360-902-8692,william@yahoo.com
US001,KGB666,35 Valley Road,Wallula,WA,USA,99363,509-449-7219,bradley@yahoo.com
US001,QSF295,55 Main Street North,Wenatchee,WA,USA,98801,509-780-6388,benton@earthlink.net
US001,BXR530,99 Virginia Avenue,Port Townsend,WA,USA,98368,360-554-5179,jones@yahoo.com
US001,TIH949,49 Hickory Lane,Everett,WA,USA,98208,425-378-7756,hawkins@gmail.com
US001,RXN102,84 George Street,Snohomish,WA,USA,98296,360-776-1636,henders@hotmail.com
US001,NDU885,93 Lafayette Avenue,Bellevue,WA,USA,98006,425-498-2739,carpent@yahoo.com
US001,HYZ738,38 Church Street,Spokane,WA,USA,99208,509-907-5919,smith@yahoo.com
US001,KQI010,16 Central Avenue,Colville,WA,USA,99114,509-758-9353,morris@hotmail.com
US001,GTU482,46 Jefferson Street,Mercer Island,WA,USA,98040,206-175-4956,harris@gmail.com
US001,WGH275,2 Monroe Street,Oak Harbor,WA,USA,98277,360-485-4230,vance@gmail.com
US001,OCI412,27 Magnolia Drive,Spokane,WA,USA,99218,509-905-6546,johnson@hotmail.com
US001,MCJ150,93 Chestnut Street,Poulsbo,WA,USA,98370,360-230-6828,russell@facebook.com
US001,QWK607,56 Main Street,Kenmore,WA,USA,98028,425-198-8871,maynard@hotmail.com
US001,OTD497,45 Brookside Drive,Tacoma,WA,USA,98444,253-429-3553,robinso@yahoo.com
US001,CGV259,96 7th Street,Tacoma,WA,USA,98443,253-723-5748,flores@gmail.com
US001,YML941,25 Maple Street,Deer Park,WA,USA,99006,509-727-8368,henders@hotmail.com
US001,DLW661,52 Adams Street,Puyallup,WA,USA,98372,253-860-2835,fletche@gmail.com
US001,EGP388,75 George Street,Seattle,WA,USA,98103,206-694-1657,clark@verizon.net
US001,BTZ774,39 Park Place,Tacoma,WA,USA,98445,253-313-9868,burgess@outlook.com
US001,VBI076,17 Monroe Street,Yakima,WA,USA,98901,509-135-4623,anderso@gmail.com
US001,ZDN812,26 8th Street,Seattle,WA,USA,98146,206-852-5006,boyd@yahoo.com
US001,MXD132,10 Elm Avenue,Ephrata,WA,USA,98823,509-375-7343,conley@hotmail.com
US001,DFS366,62 Winding Way,Camas,WA,USA,98607,360-373-2903,ramirez@yahoo.com
US001,AGW752,51 Prospect Street,Duvall,WA,USA,98019,425-716-1310,brown@laposte.net
US001,XNY747,96 Locust Street,Vancouver,WA,USA,98663,360-290-2489,ward@gmail.com
US001,AGY439,76 Berkshire Drive,Tacoma,WA,USA,98466,253-110-5240,murphy@gmail.com
US001,ZRR724,81 Magnolia Drive,Kirkland,WA,USA,98034,425-314-2252,fox@hotmail.com
US001,DLD940,32 Water Street,Kingston,WA,USA,98346,360-474-6957,byrd@gmail.com
US001,DYD271,37 Maple Street,Spokane,WA,USA,99205,509-544-8407,rivera@hotmail.com
US001,YJK235,16 Main Street,Maple Valley,WA,USA,98038,425-745-7621,beasley@bigpond.com
US001,IME716,43 Main Street,Arlington,WA,USA,98223,360-833-5934,adams@yahoo.com
US001,ALE294,99 Bridge Street,Battle Ground,WA,USA,98604,360-692-4216,figuero@yahoo.com
US001,SPR600,20 Washington Avenue,Sumner,WA,USA,98390,253-442-9649,sandova@gmail.com
US001,UKA059,33 1st Avenue,Redmond,WA,USA,98053,425-584-6067,sanchez@hotmail.com
US001,UTU882,23 Main Street,Yakima,WA,USA,98903,509-428-2999,adams@hotmail.com
US001,SVE152,59 Bridge Street,Bellevue,WA,USA,98006,425-648-2104,gillesp@hotmail.com
US001,EGI273,67 3rd Avenue,Kennewick,WA,USA,99336,509-810-2991,wilson@hotmail.com
US001,LLM964,62 4th Street,Puyallup,WA,USA,98375,253-253-8800,mathews@hotmail.com
US001,EFA432,81 Hill Street,Bothell,WA,USA,98012,425-559-3687,william@yahoo.com
US001,LHR018,45 Main Street North,Moses Lake,WA,USA,98837,509-739-4994,bray@gmail.com
US001,JJQ221,94 11th Street,Federal Way,WA,USA,98023,253-321-1722,patters@gmail.com
US001,FML675,65 Maple Avenue,Arlington,WA,USA,98223,360-394-8359,king@gmail.com
US001,SBA221,59 7th Avenue,Marysville,WA,USA,98270,360-676-4505,knight@gmail.com
US001,YVX338,97 3rd Street West,Kennewick,WA,USA,99336,509-971-8611,gomez@hotmail.com
US001,EHD518,48 Sunset Drive,Everett,WA,USA,98204,425-480-7885,fernand@gmail.com
US001,DGB504,86 Main Street,Bellingham,WA,USA,98226,360-293-8112,summers@hotmail.com
