Customer Name,Phone number,Total current AR,Within 10 days,Within 20 days ,Within 30 days,Over 30 days
"Adams,Cheryl",360-138-3987,2970.00,0,0,2970.00,0
"Adams,John",253-328-9208,2970.00,0,0,0,2970.00
"Adams,Katherine",360-435-5243,4180.00,0,0,0,4180.00
"Adams,Keith",253-510-6370,1320.00,0,0,0,1320.00
"Adams,Stephen",360-831-3687,13750.00,0,0,13750.00,0
"Adkins,Janice",360-510-5545,8250.00,0,0,8250.00,0
"Alexander,Gloria",206-242-7002,1118920.00,0,0,0,1118920.00
"Allen,Emily",360-795-4339,4950.00,0,0,4950.00,0
"Allen,Gerald",360-401-5716,283470.00,0,0,0,283470.00
"Allen,Lisa",360-151-4580,10670.00,0,0,10670.00,0
"Allen,Mary",360-280-9975,3300.00,0,0,0,3300.00
"Anderson,Aaron",253-438-4278,6380.00,0,0,0,6380.00
"Anderson,Anthony",253-895-4962,3960.00,0,0,3960.00,0
"Anderson,Arthur",253-434-5643,1650.00,0,0,0,1650.00
"Anderson,David",253-200-1700,12870.00,0,0,0,12870.00
"Anderson,Edward",253-968-8404,12760.00,0,0,12760.00,0
"Anderson,Ethan",253-278-8466,43230.00,0,0,43230.00,0
"Anderson,James",253-648-4846,453310.00,0,0,0,453310.00
"Anderson,Julie",253-346-2296,2970.00,0,0,2970.00,0
"Anderson,Justin",253-681-6753,4840.00,0,0,0,4840.00
"Anderson,Tyler",253-141-5984,7040.00,0,0,0,7040.00
"Andrews,Angela",253-760-5121,7260.00,0,7260.00,0,0
"Armstrong,Donald",509-585-7148,1650.00,0,0,1650.00,0
"Arnold,Charlotte",360-864-1231,26070.00,0,0,0,26070.00
"Atkinson,Joshua",999-846-6142,155870.00,0,0,0,155870.00
"Austin,Carolyn",360-881-4108,201300.00,0,0,0,201300.00
"Austin,Mary",509-191-9034,9680.00,0,0,9680.00,0
"Austin,Stephanie",509-415-6150,8250.00,0,0,0,8250.00
"Avery,Frances",509-134-6507,8580.00,0,0,8580.00,0
"Bailey,George",509-452-9375,4950.00,0,0,0,4950.00
"Bailey,Kimberly",509-853-4856,1320.00,0,0,0,1320.00
"Bailey,Sara",509-142-3668,6820.00,0,0,6820.00,0
"Bailey,Vincent",425-428-5507,11550.00,0,0,11550.00,0
"Baker,David",360-143-7026,1320.00,0,0,0,1320.00
"Baker,Jonathan",360-935-4208,3630.00,0,0,0,3630.00
"Baker,Joseph",360-532-5997,11000.00,0,0,0,11000.00
"Baker,Robert",360-948-8468,1760.00,0,0,1760.00,0
"Baldwin,Christian",360-386-6046,7810.00,0,0,7810.00,0
"Baldwin,Jennifer",360-145-1269,3190.00,0,0,0,3190.00
"Ballard,Michael",360-248-5025,13200.00,0,0,0,13200.00
"Ball,Natalie",360-146-8411,8140.00,0,0,8140.00,0
"Barber,Michael",360-875-6572,3190.00,0,0,3190.00,0
"Barnes,Maria",425-503-9729,1650.00,0,1650.00,0,0
"Barnes,Matthew",425-739-5069,14300.00,0,0,0,14300.00
"Barnett,Olivia",425-986-6710,2530.00,0,0,2530.00,0
"Barr,Edward",509-180-4687,3960.00,0,0,3960.00,0
"Barrett,William",360-447-4042,3630.00,0,0,0,3630.00
"Barr,Katherine",509-347-1087,12210.00,0,0,12210.00,0
"Barr,Madison",509-425-1611,2640.00,0,0,0,2640.00
"Baxter,Patricia",509-982-6419,1650.00,0,0,1650.00,0
"Beach,Carol",509-288-3341,4070.00,0,0,0,4070.00
"Beach,Philip",509-319-9184,1320.00,0,0,1320.00,0
"Becker,Mary",360-537-1775,1320.00,0,1320.00,0,0
"Bell,Bruce",253-314-4608,3080.00,0,0,3080.00,0
"Bell,Kenneth",253-879-7375,4290.00,0,0,4290.00,0
"Bell,Kenneth",509-225-7361,3850.00,0,0,3850.00,0
"Bennett,Anna",425-715-2062,1320.00,0,0,1320.00,0
"Bennett,Ashley",425-619-5030,3850.00,0,0,0,3850.00
"Bennett,Robert",425-188-6440,5940.00,0,0,5940.00,0
"Bennett,Sarah",425-167-4102,13860.00,0,0,13860.00,0
"Bennett,William",425-288-6319,56870.00,0,0,0,56870.00
"Bentley,Henry",999-398-9333,19030.00,0,0,0,19030.00
"Berger,Dorothy",360-836-7175,1650.00,0,0,1650.00,0
"Berry,Robert",425-375-6569,11000.00,0,0,0,11000.00
"Black,Debra",425-174-3452,9790.00,0,0,9790.00,0
"Blanchard,Steven",509-864-3779,8030.00,0,0,8030.00,0
"Bond,David",509-430-8156,11550.00,0,0,0,11550.00
"Booker,James",999-394-6651,9570.00,0,0,0,9570.00
"Bowman,Charlotte",360-834-6879,11220.00,0,0,0,11220.00
"Boyd,John",253-369-6975,304920.00,0,0,0,304920.00
"Boyer,Sarah",509-379-5174,1320.00,0,0,0,1320.00
"Boyle,Douglas",509-443-3994,1320.00,0,0,0,1320.00
"Boyle,Mary",509-532-2981,13310.00,0,0,0,13310.00
"Bradford,Abigail",509-398-4613,1320.00,0,0,1320.00,0
"Brady,Edward",360-561-4011,5280.00,0,0,5280.00,0
"Brady,Jennifer",999-225-4213,1320.00,0,0,0,1320.00
"Brady,Thomas",360-175-3251,178310.00,0,0,0,178310.00
"Branch,Aaron",509-657-7663,7700.00,0,0,7700.00,0
"Brennan,Debra",360-142-1203,1430.00,0,0,1430.00,0
"Brennan,Richard",360-931-8067,7150.00,0,0,7150.00,0
"Brewer,Jacob",360-637-2165,8250.00,0,0,0,8250.00
"Brooks,Christian",360-631-8891,2970.00,0,0,2970.00,0
"Brooks,Melissa",360-831-8830,1320.00,0,0,0,1320.00
"Brooks,Samantha",360-142-1203,9900.00,0,0,0,9900.00
"Brown,Angela",206-580-2675,7810.00,0,7810.00,0,0
"Brown,Carolyn",206-427-8295,1320.00,0,0,0,1320.00
"Brown,Charles",206-215-1214,11000.00,0,0,0,11000.00
"Brown,Frances",206-532-2981,4620.00,0,0,4620.00,0
"Brown,John",206-209-1498,1320.00,0,0,1320.00,0
"Brown,Kathryn",206-408-6005,6930.00,0,0,6930.00,0
"Brown,Michael",206-575-7391,1650.00,0,0,1650.00,0
"Brown,Paul",206-831-4557,5280.00,0,5280.00,0,0
"Brown,Rebecca",206-986-4450,2970.00,0,0,0,2970.00
"Brown,Richard",206-115-4720,8140.00,0,8140.00,0,0
"Bryant,Cheryl",253-474-1521,11330.00,0,0,0,11330.00
"Buchanan,Andrew",509-958-7810,2970.00,0,0,2970.00,0
"Burch,Lauren",360-488-9035,2970.00,0,0,2970.00,0
"Burgess,Michael",509-490-9349,358490.00,0,0,0,358490.00
"Burke,Samuel",360-340-9666,193050.00,0,0,0,193050.00
"Burnett,Richard",509-632-6299,20570.00,0,0,0,20570.00
"Burns,Arthur",360-347-1089,280500.00,0,0,0,280500.00
"Burns,Larry",360-910-2844,8800.00,0,0,0,8800.00
"Burt,Daniel",999-790-7478,1650.00,0,0,0,1650.00
"Burton,Joshua",360-159-6762,1650.00,0,1650.00,0,0
"Burton,Joshua",360-610-7555,3190.00,0,0,3190.00,0
"Burt,Sandra",360-100-4488,9020.00,0,0,9020.00,0
"Bush,Russell",360-923-1024,11770.00,0,11770.00,0,0
"Bush,Steven",360-405-3015,10670.00,0,0,0,10670.00
"Butler,Donna",360-875-3926,4510.00,0,0,0,4510.00
"Byers,Katherine",509-790-7391,7920.00,0,0,0,7920.00
"Byrd,Samantha",360-252-1773,10120.00,0,0,0,10120.00
"Cain,Alice",253-916-5444,11330.00,0,0,11330.00,0
"Cain,Linda",253-196-2115,10010.00,0,0,0,10010.00
"Campbell,Donald",206-629-8246,1320.00,0,0,1320.00,0
"Campbell,Isabella",206-169-5816,32120.00,0,0,0,32120.00
"Campbell,Patricia",206-245-9643,1320.00,0,0,0,1320.00
"Campbell,Ralph",360-647-8132,6380.00,0,6380.00,0,0
"Campos,James",360-880-2402,11880.00,0,0,0,11880.00
"Carey,Richard",509-305-4661,5610.00,0,0,5610.00,0
"Carey,Steven",509-172-7940,1320.00,0,1320.00,0,0
"Carr,Joshua",206-305-3771,2970.00,0,0,0,2970.00
"Carson,Carol",360-864-1231,44110.00,0,0,44110.00,0
"Carson,William",360-734-7248,2970.00,0,0,0,2970.00
"Carter,Charles",206-528-7182,440.00,0,0,0,440.00
"Carter,Dennis",206-319-9184,15840.00,0,0,0,15840.00
"Carter,Larry",206-519-7065,9460.00,0,0,9460.00,0
"Carter,Richard",206-453-3876,1258400.00,0,0,1258400.00,0
"Castillo,Mark",425-392-9475,6160.00,0,0,6160.00,0
"Castro,Andrew",360-347-3014,1980.00,0,1980.00,0,0
"Castro,Philip",360-743-6621,7040.00,0,7040.00,0,0
"Cervantes,Natalie",509-523-1862,1320.00,0,0,0,1320.00
"Chambers,Laura",360-392-8102,1870.00,0,0,0,1870.00
"Chang,Mary",360-739-5069,4510.00,0,0,4510.00,0
"Chapman,Doris",425-712-9717,3300.00,0,0,0,3300.00
"Chapman,Nancy",425-446-4204,1320.00,0,0,0,1320.00
"Chapman,Robert",425-203-8669,4290.00,0,0,4290.00,0
"Chavez,Dorothy",509-807-1191,2640.00,0,2640.00,0,0
"Chavez,Justin",509-527-6903,1320.00,0,0,1320.00,0
"Clark,Johnny",253-354-4554,11550.00,0,0,0,11550.00
"Clark,Kelly",253-642-5680,1320.00,0,0,0,1320.00
"Clark,Michael",253-320-9078,7590.00,0,0,0,7590.00
"Clark,Robert",253-755-2260,11110.00,0,0,0,11110.00
"Clark,William",253-563-9165,21560.00,0,0,0,21560.00
"Clay,Paul",360-673-7001,1320.00,0,0,0,1320.00
"Clayton,Matthew",360-406-4265,1650.00,0,1650.00,0,0
"Cline,Jessica",509-454-3875,10780.00,0,0,0,10780.00
"Coleman,Joseph",253-733-1341,8690.00,0,0,8690.00,0
"Collins,Eric",425-422-7699,3080.00,0,0,3080.00,0
"Colon,Benjamin",360-971-4998,1650.00,0,0,1650.00,0
"Cook,Helen",253-807-7122,8360.00,0,0,0,8360.00
"Cook,Laura",206-845-1862,1650.00,0,0,0,1650.00
"Cooley,Matthew",509-651-7980,2420.00,0,0,0,2420.00
