company_code,Customer Name,Phone number,rie_id,age_in_days,Current AR
US001,"Adams,Henry",360-211-7023,615,30,43560.00
US001,"Adams,Mary",360-792-3864,637,38,7920.00
US001,"Adams,Matthew",360-786-9037,132,25,35970.00
US001,"Allen,Gregory",253-423-7213,2390,37,53130.00
US001,"Allen,Gregory",253-423-7213,850,27,35530.00
US001,"Allen,Jordan",253-435-4621,549,32,4950.00
US001,"Allen,Jordan",253-435-4621,283,41,37290.00
US001,"Allen,Paul",253-127-5930,607,41,2090.00
US001,"Allen,Samuel",253-970-2537,900,46,22440.00
US001,"Allison,Carol",999-734-9123,112,29,16610.00
US001,"Alvarado,Sharon",360-358-7241,1383,17,15180.00
US001,"Alvarez,Karen",253-422-7193,217,18,13420.00
US001,"Anderson,Joseph",253-948-5592,1069,36,35640.00
US001,"Anderson,Randy",253-259-8584,495,18,1540.00
US001,"Armstrong,Hannah",509-460-1962,1892,29,22440.00
US001,"Arnold,David",360-187-8999,2052,20,20130.00
US001,"Austin,Susan",509-710-9216,411,30,24200.00
US001,"Avila,Eric",509-494-3013,1488,20,27060.00
US001,"Bailey,Barbara",509-653-8879,536,17,1870.00
US001,"Baker,Brian",360-662-2820,1530,45,30140.00
US001,"Barber,Douglas",360-619-7802,2473,22,3960.00
US001,"Barnes,Amanda",425-603-8493,148,39,18370.00
US001,"Barnes,Amanda",425-603-8493,1555,30,31790.00
US001,"Bates,Barbara",360-206-2414,2377,37,9460.00
US001,"Bates,Barbara",360-206-2414,769,38,36740.00
US001,"Bender,Edward",360-387-5377,2132,42,220.00
US001,"Bennett,Barbara",425-461-4119,2354,28,14630.00
US001,"Bennett,Kathleen",425-867-7354,987,27,44440.00
US001,"Bernard,Ashley",509-477-3092,2200,24,330.00
US001,"Berry,Martha",425-504-6776,135,35,3630.00
US001,"Best,Cynthia",360-755-4488,1531,37,30910.00
US001,"Best,Cynthia",360-755-4488,2368,37,19800.00
US001,"Bishop,Ryan",253-259-7898,2164,25,8470.00
US001,"Blackburn,Douglas",509-182-1607,1610,24,17050.00
US001,"Bond,Evelyn",509-881-5899,2048,38,40920.00
US001,"Bond,Evelyn",509-881-5899,1195,39,2310.00
US001,"Booker,Jeffrey",999-347-5230,723,18,29370.00
US001,"Bowen,Jason",360-718-5384,1456,41,27720.00
US001,"Boyd,Dorothy",253-871-1109,2077,37,31570.00
US001,"Brewer,Sarah",360-934-8462,1834,32,13200.00
US001,"Brewer,Timothy",360-683-2059,1020,23,1320.00
US001,"Bright,Justin",360-498-4260,627,38,1980.00
US001,"Britt,Mark",509-694-6606,1568,29,26620.00
US001,"Brooks,Andrew",360-947-8368,2251,33,2640.00
US001,"Brooks,Melissa",206-337-9511,251,45,2970.00
US001,"Brown,Aaron",206-843-8932,807,30,20130.00
US001,"Brown,Austin",206-733-8205,1695,19,5170.00
US001,"Brown,Carl",206-374-4215,1105,44,23540.00
US001,"Browning,Charles",360-565-3843,1590,35,52800.00
US001,"Brown,James",206-864-1397,1290,41,36190.00
US001,"Brown,Jesse",206-151-7228,1119,34,11990.00
US001,"Brown,Louis",206-127-1944,1833,20,29260.00
US001,"Brown,Margaret",206-559-3612,2149,17,42900.00
US001,"Brown,Mark",206-607-6952,1197,38,3960.00
US001,"Brown,Mary",206-385-8557,1499,18,28050.00
US001,"Brown,Philip",206-438-2292,1900,21,8250.00
US001,"Bruce,Emily",509-269-3982,1691,23,55330.00
US001,"Bullock,David",360-702-4005,433,45,2310.00
US001,"Butler,John",360-309-3888,476,42,11000.00
US001,"Cabrera,Helen",509-434-1659,1093,30,34870.00
US001,"Caldwell,Richard",360-437-4319,2206,20,11220.00
US001,"Campbell,Matthew",206-608-1483,1580,39,18150.00
US001,"Cannon,Nicholas",509-245-8279,69,18,32670.00
US001,"Carey,John",509-206-6345,849,44,8580.00
US001,"Carter,Kathryn",206-955-4523,672,27,33990.00
US001,"Carter,Kenneth",206-467-2431,1682,41,14850.00
US001,"Carter,Kenneth",253-351-8422,1167,32,16500.00
US001,"Castaneda,Lisa",509-764-9286,2379,42,16830.00
US001,"Castro,Eric",360-541-3203,166,31,9680.00
US001,"Castro,Patricia",360-375-8733,444,35,45210.00
US001,"Chambers,Dorothy",360-516-8363,1718,36,11220.00
US001,"Chandler,Zachary",360-870-6143,652,30,47960.00
US001,"Chapman,Jeffrey",425-492-8262,63,28,23980.00
US001,"Chase,Nicole",360-335-4705,2003,28,25740.00
US001,"Christensen,Christopher",360-813-7010,130,38,32340.00
US001,"Christensen,Melissa",360-668-2495,1150,34,30360.00
US001,"Clark,Douglas",253-549-6124,2424,43,3300.00
US001,"Clark,Joshua",253-243-4640,2126,46,19470.00
US001,"Clark,William",253-489-8778,2258,23,32890.00
US001,"Clay,Charlotte",425-391-9703,388,34,29700.00
US001,"Cobb,Michael",360-101-3583,1263,35,22440.00
US001,"Cole,Anna",253-909-6421,1788,29,43450.00
US001,"Coleman,Justin",253-127-6205,808,31,31350.00
US001,"Collins,Dennis",425-327-8973,1073,40,660.00
US001,"Compton,Samuel",509-756-9111,1479,34,21450.00
US001,"Conley,Kenneth",509-130-6618,195,46,53790.00
US001,"Contreras,Ralph",509-190-6445,1142,27,24310.00
US001,"Cook,Joe",206-459-2494,2430,20,48070.00
US001,"Cooper,Richard",253-981-7745,2036,23,21560.00
US001,"Cox,Kevin",425-177-4058,2079,41,330.00
US001,"Cross,Sarah",360-971-4984,1984,25,31020.00
US001,"Cruz,Joan",425-276-6992,1185,44,51480.00
US001,"Cummings,Gary",360-780-4487,2271,17,11880.00
US001,"Cunningham,James",253-556-5366,1397,31,8250.00
US001,"Curtis,Brandon",360-562-1800,1284,31,33220.00
US001,"Curtis,Carolyn",360-575-9051,2248,26,17160.00
US001,"Curtis,Michael",360-781-6675,2215,30,39270.00
US001,"Daniel,Kimberly",360-168-7475,2041,38,8250.00
US001,"Daniels,Joe",425-252-1816,162,43,21890.00
US001,"Daniels,Joseph",425-974-1421,692,45,34650.00
US001,"Davis,Austin",206-567-1707,328,19,12320.00
US001,"Davis,Christina",206-921-7272,2269,18,29370.00
US001,"Davis,Justin",206-904-7406,1621,31,2090.00
US001,"Davis,Samantha",509-629-8927,2357,35,31680.00
US001,"Day,Mary",360-137-1299,1804,38,1430.00
US001,"Dean,Edward",360-459-1949,2158,25,18480.00
US001,"Decker,James",999-872-5437,2498,35,55880.00
US001,"Diaz,Isabella",425-562-9442,885,21,31020.00
US001,"Dickson,Karen",509-581-8857,1326,22,20900.00
US001,"Dominguez,Kathryn",509-562-8901,1493,44,1210.00
US001,"Drake,Janet",360-192-1770,2346,26,19250.00
US001,"Dudley,Zachary",509-934-1001,274,29,9240.00
US001,"Duncan,Charles",425-722-3522,1964,44,7920.00
US001,"Durham,Mary",509-163-2257,249,37,35640.00
US001,"Edwards,Frank",206-907-9191,1417,28,41910.00
US001,"Edwards,Justin",206-376-7662,915,31,34320.00
US001,"Evans,Tyler",206-813-6269,1259,31,23430.00
US001,"Fischer,Edward",360-223-3645,315,36,12540.00
US001,"Fisher,Barbara",360-263-3449,1084,22,6600.00
US001,"Fisher,Catherine",360-383-6367,1958,31,23760.00
US001,"Flores,Kimberly",425-260-8040,1583,43,42900.00
US001,"Flores,Melissa",425-943-2949,614,34,23100.00
US001,"Ford,Abigail",253-956-4059,458,25,14850.00
US001,"Ford,Catherine",253-585-9768,772,29,26400.00
US001,"Foster,Mark",360-816-7826,1174,18,17380.00
US001,"Foster,Mark",360-816-7826,494,26,13200.00
US001,"Frazier,Grace",360-278-1532,629,32,57750.00
US001,"French,Albert",509-470-5001,1340,39,8470.00
US001,"Galloway,Michael",360-430-3367,774,40,1320.00
US001,"Garcia,James",206-544-6326,1830,25,220.00
US001,"Gardner,Christine",253-103-7633,1809,24,3960.00
US001,"Gardner,Sarah",253-180-8418,1551,27,11880.00
US001,"Garza,Daniel",360-406-9713,336,37,33000.00
US001,"Garza,Steven",360-286-4823,1269,44,18150.00
US001,"Gentry,Donald",509-693-8244,1273,27,13200.00
US001,"George,Stephen",253-308-9589,839,17,12210.00
US001,"Gibson,Diana",425-998-3579,1444,20,50380.00
US001,"Gibson,Patricia",425-128-7207,226,29,38280.00
US001,"Gilmore,Melissa",509-840-7918,990,27,17820.00
US001,"Gilmore,Melissa",509-840-7918,2306,40,31350.00
US001,"Glass,Charles",360-642-6553,2492,34,23320.00
US001,"Glenn,Patrick",509-143-1577,706,30,7150.00
US001,"Gomez,Charles",253-842-3037,199,42,37290.00
US001,"Gomez,Jack",253-334-5570,543,34,30140.00
US001,"Goodman,Michelle",360-391-3190,1002,28,220.00
US001,"Goodman,Theresa",360-345-7267,1842,34,45210.00
US001,"Grant,Jacob",509-582-9486,1445,21,24420.00
US001,"Griffin,Nancy",425-272-3826,1432,23,54120.00
US001,"Griffith,Betty",360-376-7857,445,23,52470.00
US001,"Grimes,Melissa",509-448-7836,1075,21,46860.00
US001,"Guzman,Emma",509-246-7204,511,38,990.00
US001,"Hall,Bradley",253-821-6026,809,20,44440.00
US001,"Hall,John",253-729-5637,1260,37,21450.00
US001,"Hammond,Brittany",360-845-7499,598,29,18150.00
US001,"Hammond,Gary",360-888-3950,1178,28,17160.00
US001,"Hansen,Richard",360-286-5939,375,33,7260.00
US001,"Hanson,Thomas",360-693-9323,2386,43,19580.00
US001,"Hardin,Zachary",509-294-7793,2244,23,28380.00
US001,"Harper,Scott",253-440-2750,1823,33,24750.00
US001,"Harris,Alexander",206-884-7601,666,31,34980.00
US001,"Harris,Joan",206-273-7805,955,44,26400.00
US001,"Harrison,Barbara",360-189-7360,1161,45,21120.00
US001,"Harrison,Donald",425-500-6079,622,35,15070.00
US001,"Harrison,Peter",425-431-3235,766,28,16610.00
US001,"Harvey,Joseph",360-263-6464,1379,23,18810.00
US001,"Harvey,Linda",360-680-3502,851,27,20460.00
US001,"Hatfield,Joshua",509-341-1399,2442,22,49830.00
US001,"Hayes,Henry",425-631-4265,2417,45,23320.00
US001,"Head,Samuel",360-251-1781,541,23,31350.00
US001,"Henry,Eugene",253-680-1483,1186,22,25630.00
US001,"Henry,Scott",253-531-1145,775,31,39820.00
US001,"Herman,Jason",509-329-6574,95,34,38390.00
US001,"Hernandez,Barbara",425-786-1636,996,31,2090.00
US001,"Hewitt,Amy",509-352-4669,1581,36,15840.00
US001,"Hicks,Justin",360-822-4691,1675,19,5280.00
US001,"Higgins,Lawrence",509-815-6496,1113,42,29370.00
US001,"Hill,Brenda",425-428-6476,1110,44,1980.00
US001,"Hill,Carl",425-335-5930,656,23,45980.00
US001,"Hill,Jason",425-593-8295,210,21,34540.00
US001,"Hill,Linda",425-997-2716,980,39,41140.00
US001,"Hill,Ryan",425-948-5441,440,42,31350.00
US001,"Hodges,Christine",360-795-9511,981,27,25410.00
US001,"Hoffman,Sophia",360-742-1588,1559,33,25300.00
US001,"Hoffman,Sophia",360-742-1588,557,20,35310.00
US001,"Holmes,Donald",253-625-5640,1501,20,57310.00
